suj,trial_id,is_trial,trial_name,trial_type,response,dur,ojoDI,blink,amp_sacada,pupila,gaze,nf,fixX,fixY,targetSide,tX1,tY1,tX2,tY2,tX3,tY3,fixStart,fixEnd,fixMid,timeline,score
2019_07_13_16_38_07,0,0,0-test-01-different1,N/A,N/A,60,1,0,1.27284,3.81038,1074,17,392.2,2111.2,181,613,1061,1125,1061,0,0,1838530.00,1838590.00,1838560.00,1259.00,28
2019_07_13_16_38_07,0,0,0-test-01-different1,N/A,N/A,48,1,0,31.9596,4.46367,1074,17,821,676.625,181,613,1061,1125,1061,0,0,1838764.00,1838812.00,1838788.00,1493.00,28
2019_07_13_16_38_07,0,0,0-test-01-different1,N/A,N/A,54,1,0,0.546502,4.47144,1074,17,843.889,677,181,613,1061,1125,1061,0,0,1838838.00,1838892.00,1838865.00,1567.00,28
2019_07_13_16_38_07,0,0,0-test-01-different1,N/A,N/A,47,1,0,0.26019,4.48788,1074,17,854.625,675.125,181,613,1061,1125,1061,0,0,1838899.00,1838946.00,1838922.50,1628.00,28
2019_07_13_16_38_07,0,0,0-test-01-different1,N/A,N/A,73,1,0,7.29428,4.15699,1074,17,1161.5,661.083,181,613,1061,1125,1061,0,0,1839093.00,1839166.00,1839129.50,1822.00,28
2019_07_13_16_38_07,0,1,0-test-01-different1,different,D,60,0,0,0,3.31347,489,6,797.1,595.3,181,613,677,1125,869,0,0,1840198.00,1840258.00,1840228.00,13.00,28
2019_07_13_16_38_07,0,1,0-test-01-different1,different,D,53,0,0,0.771197,3.25341,489,6,825.333,611,181,613,677,1125,869,0,0,1840265.00,1840318.00,1840291.50,80.00,28
2019_07_13_16_38_07,0,1,0-test-01-different1,different,D,60,0,0,1.74086,3.22757,489,6,827.8,538.1,181,613,677,1125,869,0,0,1840325.00,1840385.00,1840355.00,140.00,28
2019_07_13_16_38_07,0,1,0-test-01-different1,different,D,121,0,0,5.68363,3.27342,489,6,718.368,325.789,181,613,677,1125,869,0,0,1840419.00,1840540.00,1840479.50,234.00,28
2019_07_13_16_38_07,0,1,0-test-01-different1,different,D,74,0,0,0.106224,3.24829,489,6,719.167,330.167,181,613,677,1125,869,0,0,1840546.00,1840620.00,1840583.00,361.00,28
2019_07_13_16_38_07,0,1,0-test-01-different1,different,D,121,0,0,7.78994,3.34273,489,6,1045.58,365.526,181,613,677,1125,869,0,0,1840640.00,1840761.00,1840700.50,455.00,28
2019_07_13_16_38_07,0,1,0-test-01-different1,different,D,73,1,0,0,3.49167,515,7,787.917,629.333,181,613,677,1125,869,0,0,1840185.00,1840258.00,1840221.50,0.00,28
2019_07_13_16_38_07,0,1,0-test-01-different1,different,D,107,1,0,0.814462,3.47562,515,7,821.882,626.118,181,613,677,1125,869,0,0,1840265.00,1840372.00,1840318.50,80.00,28
2019_07_13_16_38_07,0,1,0-test-01-different1,different,D,47,1,0,6.71309,3.44284,515,7,758.875,350.75,181,613,677,1125,869,0,0,1840412.00,1840459.00,1840435.50,227.00,28
2019_07_13_16_38_07,0,1,0-test-01-different1,different,D,54,1,0,1.1743,3.50604,515,7,758.778,301.556,181,613,677,1125,869,0,0,1840466.00,1840520.00,1840493.00,281.00,28
2019_07_13_16_38_07,0,1,0-test-01-different1,different,D,94,1,0,0.649032,3.43404,515,7,732.333,307.867,181,613,677,1125,869,0,0,1840526.00,1840620.00,1840573.00,341.00,28
2019_07_13_16_38_07,0,1,0-test-01-different1,different,D,60,1,0,7.56678,3.46325,515,7,1037.2,401.1,181,613,677,1125,869,0,0,1840640.00,1840700.00,1840670.00,455.00,28
2019_07_13_16_38_07,0,1,0-test-01-different1,different,D,80,1,0,1.59057,3.42678,515,7,1052,466.077,181,613,677,1125,869,0,0,1840707.00,1840787.00,1840747.00,522.00,28
